category_id,parent_id,name(ru-ru),top,columns,sort_order,image_name,date_added,date_modified,seo_keyword,description(ru-ru),meta_title(ru-ru),meta_description(ru-ru),meta_keywords(ru-ru),store_ids,layout,status
59,0,КАРТА КЛИЕНТА,true,100,0,catalog/IMG_8586.JPG,2017-02-18 19:06:17,2019-03-28 00:29:37,client card,"<h3><font color=""#424242"">Дорогие друзья, совершая покупку в магазине TattooPro вы автоматически получаете карту постоянного клиента уже после первого заказа!</font></h3><h4><font color=""#424242"">- Карта постоянного клиента дает вам право на получение 5% скидки на все последующие покупки.</font></h4><h4><font color=""#424242"">- С картой постоянного покупателя вы автоматически становитесь участников наших конкурсов и розыгрышей, а также можете получать специальные скидки в период распродажи.&nbsp;</font></h4>
",client card,,,0,0:,false
60,0,Тату наборы,true,1,1,,2017-02-18 19:08:49,2019-03-28 00:33:13,tatu-nabory,,Тату наборы,,,0,0:,true
61,60,Наборы с индукционной машинкой,false,1,0,catalog/NRPP10 копия-1.jpg,2017-02-18 19:10:13,2017-10-22 23:21:30,nabory-s-induktsionnoj-mashinkoj,,Наборы с индукционной машинкой,,,0,0:,true
62,60,Наборы с роторной машинкой,false,1,1,catalog/NRPP10 копия-1.jpg,2017-02-18 19:10:55,2017-10-22 23:22:07,nabory-s-rotornoj-mashinkoj,,Наборы с роторной машинкой,,,0,0:,true
63,0,Тату машинки,true,1,3,,2017-02-18 19:12:10,2019-03-28 00:32:59,tatu-mashinki,,Тату машинки,,,0,0:,true
64,63,Индукционные,false,1,0,catalog/indushka.jpg,2017-02-18 19:13:10,2018-03-03 00:25:40,induktsionnye,,Индукционные,,,0,0:,true
65,63,Роторные,false,1,1,catalog/M7.jpg,2017-02-18 19:13:27,2019-03-28 00:41:54,rotornye,,Роторные,,,0,0:,true
66,63,Запчасти для машинок,false,1,3,catalog/фыф.jpg,2017-02-18 19:13:47,2019-03-28 00:42:21,zapchasti-dlja-mashinok,,Запчасти для машинок,,,0,0:,true
67,0,Энергия,true,1,5,,2017-02-18 19:18:41,2019-03-28 00:33:21,sistemi-pitanija,,Блоки питания,,,0,0:,true
68,67,Блоки питания,false,1,0,catalog/блок копия.jpg,2017-02-18 19:19:36,2018-03-03 00:50:44,bloki-pitanija,,Блоки питания,,,0,0:,true
69,67,Клип-корды,false,1,2,catalog/шнур.jpg,2017-02-18 19:26:11,2018-03-03 00:59:19,klip-kordy,,Клип-корды,,,0,0:,true
70,67,Педали,false,1,5,catalog/педалька-1.jpg,2017-02-18 19:26:27,2018-03-03 00:57:18,pedali,,Педали,,,0,0:,true
71,0,Краски,true,1,7,,2017-02-18 19:26:49,2019-03-28 00:32:24,tatu-kraski,,Тату краски,,,0,0:,true
72,0,Тату иглы,true,1,10,,2017-02-18 19:28:00,2019-03-28 00:32:13,tatu-igly,,Тату иглы,,,0,0:,true
73,72,RL,false,1,10,catalog/RL.jpg,2017-02-18 19:28:33,2017-10-25 22:19:51,rl,,Тату иглы RL,,,0,0:,true
74,72,RS,false,1,20,catalog/RS.jpg,2017-02-18 19:29:31,2017-10-25 22:21:13,rs,,Тату иглы RS,,,0,0:,true
75,72,RM,false,1,30,catalog/RM-2.png,2017-02-18 19:30:14,2018-01-21 14:14:47,rm,,Тату иглы RM,,,0,0:,true
77,72,Magnum,false,1,50,catalog/M.png,2017-02-18 19:31:05,2018-01-21 14:15:38,magnum,,Тату иглы Magnum,,,0,0:,true
78,0,Держатели,true,1,15,,2017-02-18 19:38:01,2019-03-28 00:29:13,derzhateli,,Держатели,,,0,0:,true
79,78,Стальные держатели,false,1,10,catalog/держ.jpg,2017-02-18 19:38:27,2017-10-25 22:32:11,stalnye-derzhateli,,Стальные держатели,,,0,0:,true
